"SPA_ID
",Box_number,Computer_file,Shelf_location,Description,Name_of_subjects,Date,Date_qualifier,Document_type,Format,Originals,Number_of_duplicates,Duplicate_location,,Print_copy,Previous_holding_library,Goldsmiths_ID,Notes
SPA_15736,,Contemporary to SP > photo_album > 1871-1899 >187101.jpg,,"Portrait of Sergei Alexeevich Prokofiev, aged 25, sitting at a table",Sergei Alexeevich Prokofiev,1871-xx-xx,approximate,Photograph,digital,1,1,Contemporary to SP > photo_album_tif > tifs_1871-1899 > 187101.tiff,,,Goldsmiths College London,187101,
SPA_15737,,Contemporary to SP > photo_album  > 1871-1899 > 187601s,,"Portrait of Mariia Grigorievna Prokofiev, aged 21, wearing a light-coloured dress",Mariia Grigorievna Prokofiev,1876-xx-xx,approximate,Photograph,digital,1,1,Contemporary to SP > photo_album_tif > tifs_1871-1899 > 187601s.tiff,,,Goldsmiths College London,187601s,
SPA_15738,,Contemporary to SP > photo_album > 1871-1899 >187701.jpg,,"Portrait of Sergei Alexeevich Prokofiev, aged 31, Moscow ",Sergei Alexeevich Prokofiev,1877-xx-xx,approximate,Photograph,digital,1,1,Contemporary to SP > photo_album_tif > tifs_1871-1899 > 187701.tiff,,,Goldsmiths College London,187701s,"Creator: S. Ptaszynski, St Petersburg
"
SPA_15739,,Contemporary to SP > photo_album > 1871-1899 >188801.jpg,,Portrait of Tatiana Grigorievna Prokofiev wearing a dark-coloured dress,Tatiana Grigorievna Prokofiev,1888-xx-xx,approximate,Photograph,digital,1,1,Contemporary to SP > photo_album_tif > tifs_1871-1899 > 188801.tiff,,,Goldsmiths College London,188801,
SPA_15740,,Contemporary to SP > photo_album > 1871-1899 >188801a.jpg,,Verso of portrait of Tatiana Grigorievna Prokofiev wearing a dark-coloured dress (ID 188801). With inscription: «Dorogoy sestre Marii ot Tani 1888 19 marta».,None,1888-xx-xx,approximate,Photograph,digital,1,1,Contemporary to SP > photo_album_tif > tifs_1871-1899 > 188801a.tiff,,,Goldsmiths College London,188801a,
SPA_15741,,Contemporary to SP > photo_album > 1871-1899 >189001.jpg,,"Portrait of Jean Codina, aged 24, in evening dress",Jean Codina,1890-xx-xx,approximate,Photograph,digital,1,1,Contemporary to SP > photo_album_tif > tifs_1871-1899 > 189001.tiff,,SPA_15583,Goldsmiths College London,189001,
SPA_15742,,Contemporary to SP > photo_album > 1871-1899 >189002.jpg,,"Portrait of Jean Codina, aged 24, in evening dress",Jean Codina,1890-xx-xx,approximate,Photograph,digital,1,1,Contemporary to SP > photo_album_tif > tifs_1871-1899 > 189002.tiff,,,Goldsmiths College London,189002,
SPA_15743,,Contemporary to SP > photo_album > 1871-1899 >189003s.jpg,,Portrait of Tatiana Grigorievna Prokofiev wearing a dark-coloured dress,Tatiana Grigorievna Prokofiev,1890-xx-xx,approximate,Photograph,digital,1,1,Contemporary to SP > photo_album_tif > tifs_1871-1899 > 189003s.tiff,,,Goldsmiths College London,189003s,"Creator: Vestli (son), St Petersburg
"
SPA_15744,,Contemporary to SP > photo_album > 1871-1899 >189003as.jpg,,Verso of portrait of Tatiana Grigorievna Prokofiev wearing a dark-coloured dress (ID 189003as). With inscription: «Dorogoy sestre Varetchke ot iskrenne lubiachey Tani. 1890 goda 22 fevralia».,None,1890-xx-xx,approximate,Photograph,digital,1,1,Contemporary to SP > photo_album_tif > tifs_1871-1899 > 189003as.tiff,,,Goldsmiths College London,189003as,
SPA_15745,,Contemporary to SP > photo_album > 1871-1899 >189201.jpg,,Landscape at Balaklava. With inscription: «Balaklava 1892 god. Toje v 1893 godu».,None,1892-xx-xx,approximate,Photograph,digital,1,1,Contemporary to SP > photo_album_tif > tifs_1871-1899 > 189201.tiff,,,Goldsmiths College London,189201,
